gene	KO	pathway	description
Ag_00894	K07513	map01212	Fatty acid metabolism
Ag_00894	K07513	map04146	Peroxisome
Ag_00895	K02911	map03010	Ribosome
Ag_00896	K03949	map00190	Oxidative phosphorylation
Ag_00896	K03949	map01100	Metabolic pathways
Ag_00898	K01488	map00230	Purine metabolism
Ag_00898	K01488	map01100	Metabolic pathways
Ag_00901	K12620	map03018	RNA degradation
Ag_00904	K07179	map03008	Ribosome biogenesis in eukaryotes
Ag_00906	K12839	map03040	Spliceosome
Ag_00912	K03259	map03013	RNA transport
Ag_00914	K08502	map04130	SNARE interactions in vesicular transport
Ag_00914	K08502	map04138	Autophagy - yeast
Ag_00920	K22503	map00970	Aminoacyl-tRNA biosynthesis
Ag_00921	K14455	map00220	Arginine biosynthesis
Ag_00921	K14455	map00250	Alanine, aspartate and glutamate metabolism
Ag_00921	K14455	map00270	Cysteine and methionine metabolism
Ag_00921	K14455	map00330	Arginine and proline metabolism
Ag_00921	K14455	map00350	Tyrosine metabolism
Ag_00921	K14455	map00360	Phenylalanine metabolism
Ag_00921	K14455	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_00921	K14455	map01100	Metabolic pathways
Ag_00921	K14455	map01110	Biosynthesis of secondary metabolites
Ag_00921	K14455	map01200	Carbon metabolism
Ag_00921	K14455	map01210	2-Oxocarboxylic acid metabolism
Ag_00921	K14455	map01230	Biosynthesis of amino acids
Ag_00925	K01061	map01100	Metabolic pathways
Ag_00926	K03231	map03013	RNA transport
Ag_00928	K02912	map03010	Ribosome
Ag_00932	K02437	map00260	Glycine, serine and threonine metabolism
Ag_00932	K02437	map00630	Glyoxylate and dicarboxylate metabolism
Ag_00932	K02437	map01100	Metabolic pathways
Ag_00932	K02437	map01110	Biosynthesis of secondary metabolites
Ag_00932	K02437	map01200	Carbon metabolism
Ag_00934	K13343	map04146	Peroxisome
Ag_00942	K19355	map00051	Fructose and mannose metabolism
Ag_00942	K19355	map01100	Metabolic pathways
Ag_00945	K03247	map03013	RNA transport
Ag_00949	K02879	map03010	Ribosome
Ag_00950	K03955	map00190	Oxidative phosphorylation
Ag_00950	K03955	map01100	Metabolic pathways
Ag_00951	K02872	map03010	Ribosome
Ag_00960	K14404	map03015	mRNA surveillance pathway
Ag_00963	K04392	map04145	Phagosome
Ag_00967	K13335	map04146	Peroxisome
Ag_00969	K18337	map00051	Fructose and mannose metabolism
Ag_00969	K18337	map01100	Metabolic pathways
Ag_00973	K20498	map00260	Glycine, serine and threonine metabolism
Ag_00973	K20498	map01100	Metabolic pathways
Ag_00984	K00287	map00670	One carbon pool by folate
Ag_00984	K00287	map00790	Folate biosynthesis
Ag_00984	K00287	map01100	Metabolic pathways
Ag_00984	K00287	map01240	Biosynthesis of cofactors
Ag_00985	K02919	map03010	Ribosome
Ag_00987	K06269	map03015	mRNA surveillance pathway
Ag_00987	K06269	map04113	Meiosis - yeast
Ag_00988	K02949	map03010	Ribosome
Ag_00989	K10747	map03030	DNA replication
Ag_00989	K10747	map03410	Base excision repair
Ag_00989	K10747	map03420	Nucleotide excision repair
Ag_00989	K10747	map03430	Mismatch repair
Ag_00992	K01823	map00900	Terpenoid backbone biosynthesis
Ag_00992	K01823	map01100	Metabolic pathways
Ag_00992	K01823	map01110	Biosynthesis of secondary metabolites
Ag_00993	K12780	map04113	Meiosis - yeast
Ag_00997	K12613	map03018	RNA degradation
Ag_00998	K00948	map00030	Pentose phosphate pathway
Ag_00998	K00948	map00230	Purine metabolism
Ag_00998	K00948	map01100	Metabolic pathways
Ag_00998	K00948	map01110	Biosynthesis of secondary metabolites
Ag_00998	K00948	map01200	Carbon metabolism
Ag_00998	K00948	map01230	Biosynthesis of amino acids
Ag_00999	K12765	map04113	Meiosis - yeast
Ag_01000	K03939	map00190	Oxidative phosphorylation
Ag_01000	K03939	map01100	Metabolic pathways
Ag_01010	K11824	map04144	Endocytosis
Ag_01017	K01792	map00010	Glycolysis / Gluconeogenesis
Ag_01017	K01792	map01100	Metabolic pathways
Ag_01017	K01792	map01110	Biosynthesis of secondary metabolites
Ag_01018	K03456	map03015	mRNA surveillance pathway
Ag_01018	K03456	map04111	Cell cycle - yeast
Ag_01018	K03456	map04113	Meiosis - yeast
Ag_01021	K12826	map03040	Spliceosome
Ag_01024	K01046	map00561	Glycerolipid metabolism
Ag_01024	K01046	map01100	Metabolic pathways
Ag_01029	K01070	map00680	Methane metabolism
Ag_01029	K01070	map01100	Metabolic pathways
Ag_01029	K01070	map01200	Carbon metabolism
Ag_01034	K00720	map00600	Sphingolipid metabolism
Ag_01034	K00720	map01100	Metabolic pathways
Ag_01045	K07513	map00071	Fatty acid degradation
Ag_01045	K07513	map00280	Valine, leucine and isoleucine degradation
Ag_01045	K07513	map00592	alpha-Linolenic acid metabolism
Ag_01045	K07513	map01040	Biosynthesis of unsaturated fatty acids
Ag_01045	K07513	map01100	Metabolic pathways
Ag_01045	K07513	map01110	Biosynthesis of secondary metabolites
Ag_01045	K07513	map01212	Fatty acid metabolism
Ag_01045	K07513	map04146	Peroxisome
Ag_01053	K00140	map00280	Valine, leucine and isoleucine degradation
Ag_01053	K00140	map00410	beta-Alanine metabolism
Ag_01053	K00140	map00562	Inositol phosphate metabolism
Ag_01053	K00140	map00640	Propanoate metabolism
Ag_01053	K00140	map01100	Metabolic pathways
Ag_01053	K00140	map01200	Carbon metabolism
Ag_01060	K00618	map00220	Arginine biosynthesis
Ag_01060	K00618	map01100	Metabolic pathways
Ag_01060	K00618	map01110	Biosynthesis of secondary metabolites
Ag_01060	K00618	map01210	2-Oxocarboxylic acid metabolism
Ag_01060	K00618	map01230	Biosynthesis of amino acids
Ag_01062	K10581	map04120	Ubiquitin mediated proteolysis
Ag_01066	K14394	map00730	Thiamine metabolism
Ag_01066	K14394	map00740	Riboflavin metabolism
Ag_01066	K14394	map01100	Metabolic pathways
Ag_01080	K20181	map04138	Autophagy - yeast
Ag_01095	K02961	map03010	Ribosome
Ag_01097	K00681	map00430	Taurine and hypotaurine metabolism
Ag_01097	K00681	map00460	Cyanoamino acid metabolism
